id,title,categories,abstract,doi,created,updated,authors
1301.3535,"airport gate scheduling for passengers, aircraft, and operation",cs.sy cs.ai,"passengers' experience is becoming a key metric to evaluate the air transportation system's performance. efficient and robust tools to handle airport operations are needed along with a better understanding of passengers' interests and concerns. among various airport operations, this paper studies airport gate scheduling for improved passengers' experience. three objectives accounting for passengers, aircraft, and operation are presented. trade-offs between these objectives are analyzed, and a balancing objective function is proposed. the results show that the balanced objective can improve the efficiency of traffic flow in passenger terminals and on ramps, as well as the robustness of gate operations.",10.2514/1.d0079,2013-01-15,,"['sang hyun kim', 'eric feron', 'john-paul clarke', 'aude marzuoli', 'daniel delahaye']"
1805.10672,a note on belief structures and s-approximation spaces,cs.ai math.lo,"we study relations between evidence theory and s-approximation spaces. both theories have their roots in the analysis of dempster's multivalued mappings and lower and upper probabilities and have close relations to rough sets. we show that an s-approximation space, satisfying a monotonicity condition, can induce a natural belief structure which is a fundamental block in evidence theory. we also demonstrate that one can induce a natural belief structure on one set, given a belief structure on another set if those sets are related by a partial monotone s-approximation space.",,2018-05-27,2020-03-28,"['ali shakiba', 'amir kafshdar goharshady', 'mohammadreza hooshmandasl', 'mohsen alambardar meybodi']"
1808.08079,under the hood: using diagnostic classifiers to investigate and improve   how language models track agreement information,cs.cl cs.ai,"how do neural language models keep track of number agreement between subject and verb? we show that `diagnostic classifiers', trained to predict number from the internal states of a language model, provide a detailed understanding of how, when, and where this information is represented. moreover, they give us insight into when and where number information is corrupted in cases where the language model ends up making agreement errors. to demonstrate the causal role played by the representations we find, we then use agreement information to influence the course of the lstm during the processing of difficult sentences. results from such an intervention reveal a large increase in the language model's accuracy. together, these results show that diagnostic classifiers give us an unrivalled detailed look into the representation of linguistic information in neural models, and demonstrate that this knowledge can be used to improve their performance.",,2018-08-24,2021-11-18,"['mario giulianelli', 'jacqueline harding', 'florian mohnert', 'dieuwke hupkes', 'willem zuidema']"
1810.04879,generating shared latent variables for robots to imitate human movements   and understand their physical limitations,cs.ro cs.ai cs.cv cs.hc cs.lg,"assistive robotics and particularly robot coaches may be very helpful for rehabilitation healthcare. in this context, we propose a method based on gaussian process latent variable model (gp-lvm) to transfer knowledge between a physiotherapist, a robot coach and a patient. our model is able to map visual human body features to robot data in order to facilitate the robot learning and imitation. in addition , we propose to extend the model to adapt robots' understanding to patient's physical limitations during the assessment of rehabilitation exercises. experimental evaluation demonstrates promising results for both robot imitation and model adaptation according to the patients' limitations.",10.1007/978-3-030-11012-3_15,2018-10-11,2021-11-03,"['maxime devanne', 'sao mai nguyen']"
1812.04082,visual depth mapping from monocular images using recurrent convolutional   neural networks,cs.cv cs.ai,"a reliable sense-and-avoid system is critical to enabling safe autonomous operation of unmanned aircraft. existing sense-and-avoid methods often require specialized sensors that are too large or power intensive for use on small unmanned vehicles. this paper presents a method to estimate object distances based on visual image sequences, allowing for the use of low-cost, on-board monocular cameras as simple collision avoidance sensors. we present a deep recurrent convolutional neural network and training method to generate depth maps from video sequences. our network is trained using simulated camera and depth data generated with microsoft's airsim simulator. empirically, we show that our model achieves superior performance compared to models generated using prior methods.we further demonstrate that the method can be used for sense-and-avoid of obstacles in simulation.",10.2514/6.2019-1189,2018-12-10,,"['john mern', 'kyle julian', 'rachael e. tompa', 'mykel j. kochenderfer']"
1812.10487,early prediction of post-acute care discharge disposition using   predictive analytics: preponing prior health insurance authorization thus   reducing the inpatient length of stay,cs.cy cs.ai,"objective: a patient medical insurance coverage plays an essential role in determining the post-acute care (pac) discharge disposition. the prior health insurance authorization process postpones the pac discharge disposition, increases the inpatient length of stay, and effects patient health. our study implements predictive analytics for the early prediction of the pac discharge disposition to reduce the deferments caused by prior health insurance authorization, the inpatient length of stay and inpatient stay expenses. methodology: we conducted a group discussion involving 25 patient care facilitators (pcfs) and two registered nurses (rns) and retrieved 1600 patient data records from the initial nursing assessment and discharge notes to conduct a retrospective analysis of pac discharge dispositions using predictive analytics. results: the chi-squared automatic interaction detector (chaid) algorithm enabled the early prediction of the pac discharge disposition, accelerated the prior health insurance process, decreased the inpatient length of stay by an average of 22.22%, and reduced inpatient stay expenses by \$1,974 for state government hospitals, \$2,346 for non-profit hospitals and \$1,798 for for-profit hospitals per day. the chaid algorithm produced an overall accuracy of 84.16% and an area under the receiver operating characteristic (roc) curve value of 0.81. conclusion: the early prediction of pac discharge dispositions can condense the pac deferment caused by the prior health insurance authorization process and simultaneously minimize the inpatient length of stay and related expenses incurred by the hospital.",,2018-12-28,,['avishek choudhury']
1903.00715,efficient reinforcement learning for starcraft by abstract forward   models and transfer learning,cs.lg cs.ai stat.ml,"injecting human knowledge is an effective way to accelerate reinforcement learning (rl). however, these methods are underexplored. this paper presents our discovery that an abstract forward model (thought-game (tg)) combined with transfer learning (tl) is an effective way. we take starcraft ii as our study environment. with the help of a designed tg, the agent can learn a 99% win-rate on a 64x64 map against the level-7 built-in ai, using only 1.08 hours in a single commercial machine. we also show that the tg method is not as restrictive as it was thought to be. it can work with roughly designed tgs, and can also be useful when the environment changes. comparing with previous model-based rl, we show tg is more effective. we also present a tg hypothesis that gives the influence of different fidelity levels of tg. for real games that have unequal state and action spaces, we proposed a novel xfrnet of which usefulness is validated while achieving a 90% win-rate against the cheating level-10 ai. we argue that the tg method might shed light on further studies of efficient rl with human knowledge.",,2019-03-02,2021-11-02,"['ruo-ze liu', 'haifeng guo', 'xiaozhong ji', 'yang yu', 'zhen-jia pang', 'zitai xiao', 'yuzhou wu', 'tong lu']"
1904.00326,medication recommendation and lab test imputation via graph   convolutional networks,cs.lg cs.ai stat.ml,"laboratory testing and medication prescription are two of the most important routines in daily clinical practice. developing an artificial intelligence system that can automatically make lab test imputations and medication recommendations can save costs on potentially redundant lab tests and inform physicians of a more effective prescription. we present an intelligent medical system (named medgcn) that can automatically recommend the patients' medications based on their incomplete lab tests, and can even accurately estimate the lab values that have not been taken. in our system, we integrate the complex relations between multiple types of medical entities with their inherent features in a heterogeneous graph. then we model the graph to learn a distributed representation for each entity in the graph based on graph convolutional networks (gcn). by the propagation of graph convolutional networks, the entity representations can incorporate multiple types of medical information that can benefit multiple medical tasks. moreover, we introduce a cross regularization strategy to reduce overfitting for multi-task training by the interaction between the multiple tasks. in this study, we construct a graph to associate 4 types of medical entities, i.e., patients, encounters, lab tests, and medications, and applied a graph neural network to learn node embeddings for medication recommendation and lab test imputation. we validate our medgcn model on two real-world datasets: nmedw and mimic-iii. the experimental results on both datasets demonstrate that our model can outperform the state-of-the-art in both tasks. we believe that our innovative system can provide a promising and reliable way to assist physicians to make medication prescriptions and to save costs on potentially redundant lab tests.",,2019-03-30,2021-10-31,"['chengsheng mao', 'liang yao', 'yuan luo']"
1905.08088,graph mining meets crowdsourcing: extracting experts for answer   aggregation,cs.si cs.ai cs.hc cs.lg,"aggregating responses from crowd workers is a fundamental task in the process of crowdsourcing. in cases where a few experts are overwhelmed by a large number of non-experts, most answer aggregation algorithms such as the majority voting fail to identify the correct answers. therefore, it is crucial to extract reliable experts from the crowd workers. in this study, we introduce the notion of ""expert core"", which is a set of workers that is very unlikely to contain a non-expert. we design a graph-mining-based efficient algorithm that exactly computes the expert core. to answer the aggregation task, we propose two types of algorithms. the first one incorporates the expert core into existing answer aggregation algorithms such as the majority voting, whereas the second one utilizes information provided by the expert core extraction algorithm pertaining to the reliability of workers. we then give a theoretical justification for the first type of algorithm. computational experiments using synthetic and real-world datasets demonstrate that our proposed answer aggregation algorithms outperform state-of-the-art algorithms.",10.24963/ijcai.2019/177,2019-05-17,,"['yasushi kawase', 'yuko kuroki', 'atsushi miyauchi']"
1906.05799,deep reinforcement learning for cyber security,cs.cr cs.ai cs.lg stat.ml,"the scale of internet-connected systems has increased considerably, and these systems are being exposed to cyber attacks more than ever. the complexity and dynamics of cyber attacks require protecting mechanisms to be responsive, adaptive, and scalable. machine learning, or more specifically deep reinforcement learning (drl), methods have been proposed widely to address these issues. by incorporating deep learning into traditional rl, drl is highly capable of solving complex, dynamic, and especially high-dimensional cyber defense problems. this paper presents a survey of drl approaches developed for cyber security. we touch on different vital aspects, including drl-based security methods for cyber-physical systems, autonomous intrusion detection techniques, and multiagent drl-based game theory simulations for defense strategies against cyber attacks. extensive discussions and future research directions on drl-based cyber security are also given. we expect that this comprehensive review provides the foundations for and facilitates future studies on exploring the potential of emerging drl to cope with increasingly complex cyber security problems.",10.1109/tnnls.2021.3121870,2019-06-13,2021-11-01,"['thanh thi nguyen', 'vijay janapa reddi']"
